n,phase shift
1,-100.41712493188889
2,-50.225312427284955
3,-33.48726573366469
4,-25.116846254608387
5,-20.094105547381016
6,-16.746950747963176
7,-14.343563422351421
8,-12.572402783739719
9,-11.171451512015306
10,-10.048880328503284
11,-9.132135588577563
12,-8.369555700924131
13,-7.725074157098787
14,-7.173063440637371
