n,phase shift
1,-160.9266577584126
2,-60.79412406030767
3,-37.67958412091496
4,-27.379919865684116
5,-21.511015362086983
6,-17.716558423493456
7,-15.053610570500727
8,-13.1115472120699
9,-11.587250632871136
10,-10.382865203529295
11,-9.408250662652536
12,-8.602319335372934
13,-7.924133170803019
14,-7.34526683020835
