n,phase shift
1,-169.27352381530454
2,-60.770892682202096
3,-37.69401557043948
4,-27.384390602204206
5,-21.512635041054853
6,-17.717213846036476
7,-15.053889506161564
8,-13.111661136679569
9,-11.587287061684245
10,-10.382865203540137
