n,E
1,-2.837807597696598
2,-0.3657599156911591
3,-0.14071801106224208
4,-0.07426959201127421
5,-0.04583449322548795
6,-0.031086273615852852
7,-0.02246271627962405
8,-0.01698740618010765
9,-0.01329511883306479
10,-0.010687909000935265
