n,phase shift
1,-168.92237351650914
2,-60.785835745969116
3,-37.69588169239721
4,-27.3848562594117
5,-21.512791696344895
6,-17.71727504591443
7,-15.05391504369981
8,-13.111671441379851
9,-11.587290330269893
10,-10.382865203526785
