n,phase shift
1,-68.78770958836479
2,-55.58699401167903
3,-42.38930784940632
4,-30.20462983719032
5,-22.03497373348647
6,-17.88911875476368
7,-15.120230355657416
8,-13.137303605011727
9,-11.595206422941438
10,-10.38286520348181
