r,V(r)
0.24171401689703645,-8.274240880502786
0.24414328315343706,-8.191910808142353
0.2465969639416066,-8.110399933689346
0.24907530463166827,-8.0297001059884
0.2515785530597565,-7.949803254989496
0.25410695955280027,-7.870701390940947
0.25666077695355605,-7.792386603590424
0.2592402606458916,-7.714851061393945
0.26184566858032604,-7.63808701073267
0.26447726129982396,-7.562086775137561
0.2671353019658503,-7.486842754521728
0.269820056384687,-7.4123474244203935
0.27253179303401265,-7.338593335238487
0.27527078308975234,-7.265573111505618
0.2780373004531941,-7.193279451138564
0.2808316217783799,-7.121705124711038
0.28365402649977045,-7.050842974730762
0.2865047968601901,-6.980685914923683
0.28938421793905056,-6.911226929525353
0.29229257768085953,-6.842459072579344
0.29523016692401427,-6.774375467242668
0.2981972794298874,-6.706969305098047
0.301194211912202,-6.640233845473096
0.3042212640667042,-6.574162414766233
0.3072787386011313,-6.5087484057793406
0.31036694126548503,-6.443985277056999
0.31348618088260527,-6.37986655223237
0.3166367693790534,-6.316385819379532
0.319819021816304,-6.253536730372309
0.32303325642225295,-6.191313000249423
0.32627979462303947,-6.129708406586005
0.3295589610751892,-6.068716788871348
0.33287108369807966,-6.008332047892864
0.3362164937067334,-5.9485481451261295
0.3395955256449391,-5.889359102131048
0.3430085174187066,-5.830758999953995
0.34645581033005757,-5.772741978535914
0.34993774911115544,-5.715302236126326
0.35345468195878016,-5.658434028703119
0.35700696056914727,-5.60213166939816
0.36059494017307847,-5.546389527928593
0.3642189795715234,-5.491202030033832
0.36787944117144233,-5.43656365691809
0.3715766910220456,-5.382468944698526
0.37531109885139974,-5.328912483858831
0.37908303810339894,-5.275888918708303
0.38289288597511206,-5.223392946846235
0.3867410234545011,-5.171419318631694
0.3906278353585213,-5.119962836658541
0.39455371037160125,-5.069018355235708
0.3985190410845142,-5.018580779872595
0.4025242240336359,-4.968645066769634
0.40656965974059933,-4.919206222313897
0.4106557527523456,-4.870259302579748
0.41478291168158143,-4.821799412834419
0.41895154924763894,-4.773821707048554
0.42316208231774904,-4.726321387411588
0.4274149319487268,-4.679293703851981
0.43171052342907973,-4.632733953562183
0.43604928632153556,-4.586637480528366
0.44043165450599914,-4.540999675064813
0.44485806622294133,-4.495815973352941
0.4493289641172217,-4.451081856984934
0.45384479528235583,-4.406792852511873
0.4584060113052234,-4.362944530996404
0.4630130683112283,-4.319532507569828
0.46766642700990935,-4.276552440993636
0.4723665527410147,-4.23400003322535
0.47711391552103427,-4.19187102898873
0.48190899009020266,-4.150161215348243
0.4867522559599718,-4.108866421287774
0.4916441974609651,-4.067982517293501
0.4965853037914094,-4.027505414940954
0.5015760690660558,-3.9874310664861627
0.5066169923655898,-3.947755464460894
0.5117085777865426,-3.9084746412718783
0.5168513344916992,-3.8695846688040634
0.5220457767610164,-3.8310816580277898
