n,E
1,-0.9986664095499367
2,-0.24983321155892907
3,-0.11106168385907807
4,-0.06247914630415296
5,-0.03998932264828663
6,-0.027771598902985296
7,-0.020404272532001447
8,-0.015622393969877479
9,-0.012343849267400675
10,-0.009998666755264092
11,-0.008263461844316733
12,-0.006943674246444012
13,-0.005916554860597983
14,-0.005101557454225052
