n,E
1,-2.638871554126601
2,-0.3391025398964378
3,-0.1347636631526964
4,-0.07202250061119118
5,-0.044750949137734294
6,-0.030482339713166832
7,-0.02209207171934415
8,-0.01674372490959402
9,-0.013126405507115867
10,-0.010566294884778215
11,-0.008688200571041613
12,-0.007269735337792234
13,-0.006172288924421045
14,-0.005305821413521792
