n,phase shift
1,-86.0904387632823
2,-63.97335278234579
3,-42.64108323217873
4,-28.022772067560854
5,-21.698781585517082
6,-17.785612862293675
7,-15.081526266600648
8,-13.122602848567524
9,-11.590715231877004
10,-10.382865203517289
