n,E
1,-1.7556226156857422
2,-0.46408220132058187
3,-0.1438117961302606
4,-0.07477314030404328
5,-0.04596260151003755
6,-0.03112677506592316
7,-0.02247687823673688
8,-0.016992347743813415
9,-0.013296528540383434
10,-0.010687911197215027
