r,$\psi$
0.00033546262790251185,0.0
0.0003388340833634261,4.5559032085259744e-05
0.0003422394225150394,9.111920005615231e-05
0.00034567898589410494,0.00013668163976966678
0.0003491531174598264,0.00018224748707643414
0.00035266216462825575,0.00022781787784809107
0.00035620647830703403,0.0002733939480046294
0.00035978641293048306,0.0003189768335417293
0.0003634023264950478,0.0003645676705580792
0.0003670545805950984,0.0004101675952826796
0.0003707435404590882,0.00045577774410213504
0.00037446957498607833,0.000501399253587932
0.00037823305678262576,0.0005470332605237053
0.0003820343622000467,0.000592680901932488
0.00038587387137205064,0.0006383433151039544
0.0003897519682527548,0.0006840216376216483
0.0003936690406550783,0.0007297170073902002
0.00039762548028952584,0.0007754305626625354
0.0004016216828033581,0.0008211634420670704
0.00040565804782015684,0.000866916784634897
0.0004097349789797868,0.0009126917298269623
0.00041385288397876164,0.0009584894175612344
0.0004180121746110129,0.0010043109882398602
0.00042221326680907034,0.0010501575827763156
0.00042645658068565383,0.001096030342622552
0.00043074254057568753,0.0011419304097961245
0.0004350715750787321,0.0011878589269073197
0.00043944411710184546,0.001233817037186277
0.000443860603902874,0.001279805884510098
0.00044832147713417755,0.0013258266134299548
0.00045282718288679695,0.00137188036919819
0.0004573781717350623,0.0014179682977954154
0.0004619748987816513,0.0014640915459575917
0.0004666178237030984,0.0015102512612031208
0.00047130741079576537,0.0015564485918599185
0.00047604412902226933,0.0016026846870924921
0.00048082845205838073,0.0016489606969290122
0.0004856608583403892,0.0016952777722883743
0.0004905418311129505,0.0017416370650072657
0.0004954718584774093,0.0017880397278672246
0.0005004514334406108,0.001834486914621696
0.0005054810539642003,0.0018809797800230842
0.0005105612230144218,0.0019275194798498005
0.0005156924486124138,0.001974107170933321
0.0005208752438850126,0.0020207440111852256
0.0005261101271160638,0.002067431159624245
0.0005313976217982529,0.0021141697764033053
0.0005367382566854548,0.002160961022836568
0.000542132565845609,0.002207806061426477
0.0005475810887141261,0.002254706055890795
0.0005530843701478336,0.0023016621711896374
0.0005586429604794611,0.0023486755735525186
0.0005642574155726738,0.0023957474305053928
0.0005699282968776604,0.0024428789108976866
0.0005756561714872761,0.0024900711849293444
0.0005814416121937556,0.0025373254241778617
0.0005872851975459913,0.0025846428016253293
0.000593187511907387,0.0026320244916854694
0.0005991491455142981,0.00267947167023069
0.0006051706945350532,0.0027269855146191077
0.0006112527611295723,0.0027745672037216076
0.000617395953509584,0.0028222179179488746
0.0006236008859994445,0.0028699388392784513
0.000629868179097574,0.0029177311512817807
0.0006361984595385052,0.0029655960391512604
0.0006425923603555579,0.0030135346897272827
0.0006490505209441411,0.003061548291525293
0.0006555735871256958,0.0031096380347628424
0.0006621622112122764,0.003157805111386648
0.0006688170520717824,0.0032060507150996564
0.0006755387751938444,0.0032543760413880863
0.0006823280527563766,0.003302782287548508
0.0006891855636927931,0.0033512706527148977
0.0006961119937599026,0.00339984233788571
0.0007031080356064829,0.003448498545950945
0.000710174388842549,0.0034972404817192096
0.0007173117601093135,0.003546069351944808
0.0007245208631498506,0.003594986365354812
0.0007318024188804728,0.0036439927326761263
0.0007391571554628196,0.003693089666662578
0.0007465858083766792,0.0037422783821219985
0.0007540891204935341,0.0037915600959433013
0.0007616678421508473,0.0038409360271235717
0.0007693227312271008,0.0038904073967951486
0.0007770545532175816,0.003939975428252715
0.0007848640813109316,0.003989641346980394
0.0007927520964664691,0.004039406380678833
0.0008007193874922814,0.004089271759292299
0.0008087667511241114,0.00413923871503578
0.0008168949921050283,0.004189308482422062
0.0008251049232659046,0.004239482298288843
0.0008333973656066964,0.00428976140182583
0.000841773148378549,0.004340147034601825
0.0008502331091667194,0.004390640440591831
0.0008587780939743372,0.004441242866204145
0.0008674089573070025,0.004491955560307451
0.0008761265622582417,0.004542779774257932
0.0008849317805958146,0.004593716761926362
0.0008938254928488935,0.004644767779725194
0.0009028085883961136,0.004695934086635655
0.0009118819655545162,0.004747216944234854
0.0009210465316693785,0.004798617616722861
0.000930303203204949,0.004850137370949788
0.0009396529058360961,0.004901777476442907
0.0009490965745408727,0.004953539205433697
0.0009586351536940199,0.005005423832884947
0.0009682695971614026,0.005057432636517836
0.0009780008683953946,0.005109566896838986
0.0009878299405312295,0.00516182789716755
0.000997757796484312,0.005214216923662271
0.0010077854290485105,0.00526673526534854
0.0010179138409954387,0.005319384214145443
0.0010281440451747298,0.0053721650648928185
0.0010384770646153282,0.005425079115378296
0.0010489139326277893,0.005478127666364318
0.0010594556929076101,0.005531312021615177
0.0010701033996396044,0.005584633487924026
0.0010808581176033184,0.005638093375139881
0.0010917209222795108,0.00569169299619462
0.0011026928999577018,0.005745433667129984
0.0011137751478448032,0.005799316707124545
0.0011249687741748374,0.005853343438520663
0.0011362748983197658,0.0059075151868514435
0.0011476946509014264,0.005961833280867697
0.0011592291739045914,0.006016299052564833
0.0011708796207911744,0.006070913837209787
0.0011826471566155727,0.006125678973367925
0.0011945329581411752,0.006180595802929914
0.0012065382139580404,0.00623566567113858
0.0012186641246017523,0.006290889926615777
0.001230911902673481,0.0063462699213892
0.0012432827729612415,0.0064018070109191855
0.0012557779725623694,0.006457502554125516
0.0012683987510072388,0.006513357913414173
0.0012811463703842113,0.006569374454704099
0.001294022105465848,0.006625553547453908
0.0013070272438363876,0.006681896564688594
0.0013201630860205026,0.00673840488302619
0.0013334309456133593,0.006795079882704422
0.0013468321494119746,0.006851922947607325
0.0013603680375478939,0.006908935465291848
0.0013740399636212118,0.006966118827014387
0.001387849294835929,0.007023474427757344
0.0014017974121366744,0.007081003666255625
