n,E
1,-0.7274152463104299
2,-0.403374562719976
3,-0.1804110022796677
4,-0.07788842319497966
5,-0.046651543244543923
6,-0.03133246407420384
7,-0.022546734785906658
8,-0.01701631422818117
9,-0.013303292825104455
10,-0.010687921655340124
