n,E
1,-0.4686262102165868
2,-0.3060210178755103
3,-0.17795800457985886
4,-0.09035494218067969
5,-0.048087271977785374
6,-0.031692751950703694
7,-0.022660316246017737
8,-0.01705377334150331
9,-0.013313617618110871
10,-0.0106879373562789
