n,E
1,-2.8260460017970472
2,-0.3659398125290102
3,-0.14073194449260368
4,-0.07427211786373683
5,-0.045835160756349906
6,-0.031086488495129804
7,-0.022462792170528934
8,-0.01698743282393661
9,-0.013295126464900461
10,-0.010687909013278221
