n,phase shift
1,-133.1414078584528
2,-68.45339904111829
3,-38.10612754759769
4,-27.47706694884946
5,-21.542678455871094
6,-17.72874539105233
7,-15.058654227907155
8,-13.113572206751165
9,-11.587890796343546
10,-10.382865203498117
