n,phase shift
1,-132.81634020844564
2,-68.56824985768635
3,-38.1071742108765
4,-27.47726544357416
5,-21.542740416368176
6,-17.72876889791991
7,-15.058663898364223
8,-13.113576078207304
9,-11.587892018464798
10,-10.382865203526784
