r,V(r)
0.00033546262790251185,-11903.865456949417
0.0003388340833634261,-11785.221683106894
0.0003422394225150394,-11667.758441258942
0.00034567898589410494,-11551.463984983253
0.0003491531174598264,-11436.326684737067
0.00035266216462825575,-11322.335026694163
0.00035620647830703403,-11209.477611593496
0.00035978641293048306,-11097.743153599251
0.0003634023264950478,-10987.120479172278
0.0003670545805950984,-10877.598525952679
0.0003707435404590882,-10769.166341653596
0.00037446957498607833,-10661.813082965959
0.00037823305678262576,-10555.528014474181
0.0003820343622000467,-10450.300507582546
0.00038587387137205064,-10346.120039452395
0.0003897519682527548,-10242.976191949787
0.0003936690406550783,-10140.85865060374
0.00039762548028952584,-10039.757203574709
0.0004016216828033581,-9939.661740633423
0.00040565804782015684,-9840.562252149852
0.0004097349789797868,-9742.448828092249
0.00041385288397876164,-9645.31165703612
0.0004180121746110129,-9549.141025183064
0.00042221326680907034,-9453.927315389403
0.00042645658068565383,-9359.661006204478
0.00043074254057568753,-9266.332670918448
0.0004350715750787321,-9173.932976619646
0.00043944411710184546,-9082.452683261266
0.000443860603902874,-8991.882642737353
0.00044832147713417755,-8902.213797968003
0.00045282718288679695,-8813.437181993613
0.0004573781717350623,-8725.543917078201
0.0004619748987816513,-8638.52521382161
0.0004666178237030984,-8552.372370280593
0.00047130741079576537,-8467.076771098564
0.00047604412902226933,-8382.62988664409
0.00048082845205838073,-8299.023272157894
0.0004856608583403892,-8216.24856690842
0.0004905418311129505,-8134.297493355688
0.0004954718584774093,-8053.161856323577
0.0005004514334406108,-7972.8335421802785
0.0005054810539642003,-7893.30451802696
0.0005105612230144218,-7814.566830894419
0.0005156924486124138,-7736.612606947816
0.0005208752438850126,-7659.434050699263
0.0005261101271160638,-7583.023444228296
0.0005313976217982529,-7507.373146410046
0.0005367382566854548,-7432.475592151126
0.000542132565845609,-7358.323291633126
0.0005475810887141261,-7284.908829563632
0.0005530843701478336,-7212.224864434663
0.0005586429604794611,-7140.264127788532
0.0005642574155726738,-7069.019423490994
0.0005699282968776604,-6998.483627011614
0.0005756561714872761,-6928.649684711337
0.0005814416121937556,-6859.510613137079
0.0005872851975459913,-6791.059498323396
0.000593187511907387,-6723.289495101096
0.0005991491455142981,-6656.193826412682
0.0006051706945350532,-6589.765782634667
0.0006112527611295723,-6523.998720906596
0.000617395953509584,-6458.886064466746
0.0006236008859994445,-6394.421301994475
0.000629868179097574,-6330.597986959045
0.0006361984595385052,-6267.409736974985
0.0006425923603555579,-6204.8502331638365
0.0006490505209441411,-6142.913219522285
0.0006555735871256958,-6081.592502296517
0.0006621622112122764,-6020.881949362863
0.0006688170520717824,-5960.7754896145725
0.0006755387751938444,-5901.26711235471
0.0006823280527563766,-5842.3508666950565
0.0006891855636927931,-5784.020860961033
0.0006961119937599026,-5726.271262102518
0.0007031080356064829,-5669.096295110559
0.000710174388842549,-5612.490242439835
0.0007173117601093135,-5556.447443436912
0.0007245208631498506,-5500.962293774179
0.0007318024188804728,-5446.0292448893915
0.0007391571554628196,-5391.642803430843
0.0007465858083766792,-5337.797530707986
0.0007540891204935341,-5284.488042147577
0.0007616678421508473,-5231.709006755225
