r,$\psi$
0.00033546262790251185,0.0
0.0003388340833634261,5.674923206554159e-05
0.0003422394225150394,0.00011349987517358927
0.00034567898589410494,0.0001702533402603044
0.0003491531174598264,0.0002270110381756131
0.00035266216462825575,0.00028377437971592297
0.00035620647830703403,0.0003405447756567999
0.00035978641293048306,0.00039732363678560465
0.0003634023264950478,0.0004541123739340889
0.0003670545805950984,0.0005109123980109502
0.0003707435404590882,0.0005677251200343498
0.00037446957498607833,0.0006245519511643886
0.00037823305678262576,0.0006813943027355428
0.0003820343622000467,0.0007382535862890645
0.00038587387137205064,0.0007951312136053382
0.0003897519682527548,0.0008520285967362026
0.0003936690406550783,0.0009089471480372298
0.00039762548028952584,0.0009658882801999676
0.0004016216828033581,0.0010228534062841435
0.00040565804782015684,0.00107984393974983
0.0004097349789797868,0.001136861294489574
0.00041385288397876164,0.001193906884860479
0.0004180121746110129,0.0012509821257162574
0.00042221326680907034,0.0013080884324392452
0.00042645658068565383,0.0013652272209723729
0.00043074254057568753,0.0014223999078511005
0.0004350715750787321,0.001479607910235318
0.00043944411710184546,0.001536852645941199
0.000443860603902874,0.0015941355334730236
0.00044832147713417755,0.001651457992054967
0.00045282718288679695,0.0017088214416628351
0.0004573781717350623,0.0017662273030557756
0.0004619748987816513,0.0018236769978079471
0.0004666178237030984,0.0018811719483401452
0.00047130741079576537,0.0019387135779513982
0.00047604412902226933,0.0019963033108505116
0.00048082845205838073,0.0020539425721875864
0.0004856608583403892,0.0021116327880854983
0.0004905418311129505,0.0021693753856713263
0.0004954718584774093,0.002227171793107754
0.0005004514334406108,0.002285023439624424
0.0005054810539642003,0.0023429317555492607
0.0005105612230144218,0.002400898172339739
0.0005156924486124138,0.0024589241226141306
0.0005208752438850126,0.002517011040182705
0.0005261101271160638,0.0025751603600788755
0.0005313976217982529,0.002633373518590327
0.0005367382566854548,0.002691651953290087
0.000542132565845609,0.0027499971030675594
0.0005475810887141261,0.002808410408159516
0.0005530843701478336,0.002866893310181057
0.0005586429604794611,0.0029254472521565073
0.0005642574155726738,0.002984073678550293
0.0005699282968776604,0.0030427740352977585
0.0005756561714872761,0.0031015497698359453
0.0005814416121937556,0.0031604023311343292
0.0005872851975459913,0.003219333169725515
0.000593187511907387,0.0032783437377358806
0.0005991491455142981,0.0033374354889161776
0.0006051706945350532,0.0033966098786720827
0.0006112527611295723,0.0034558683640947174
0.000617395953509584,0.0035152124039910934
0.0006236008859994445,0.0035746434589145467
0.000629868179097574,0.003634162991195094
0.0006361984595385052,0.003693772464969753
0.0006425923603555579,0.00375347334621281
0.0006490505209441411,0.0038132671027660443
0.0006555735871256958,0.00387315520436889
0.0006621622112122764,0.003933139122688552
0.0006688170520717824,0.003993220331350082
0.0006755387751938444,0.004053400305966389
0.0006823280527563766,0.0041136805241681835
0.0006891855636927931,0.004174062465633901
0.0006961119937599026,0.0042345476121195495
0.0007031080356064829,0.004295137447488495
0.000710174388842549,0.0043558334577412025
0.0007173117601093135,0.004416637131044928
0.0007245208631498506,0.004477549957763315
0.0007318024188804728,0.004538573430485985
0.0007391571554628196,0.004599709044058022
0.0007465858083766792,0.004660958295609424
0.0007540891204935341,0.004722322684584477
0.0007616678421508473,0.004783803712771058
0.0007693227312271008,0.004845402884329901
0.0007770545532175816,0.004907121705823779
0.0007848640813109316,0.004968961686246618
0.0007927520964664691,0.005030924337052559
0.0008007193874922814,0.005093011172184929
0.0008087667511241114,0.005155223708105163
0.0008168949921050283,0.005217563463821628
0.0008251049232659046,0.005280031960918401
0.0008333973656066964,0.005342630723583972
0.000841773148378549,0.00540536127863985
0.0008502331091667194,0.005468225155569103
0.0008587780939743372,0.005531223886544837
0.0008674089573070025,0.005594359006458566
0.0008761265622582417,0.005657632052948524
0.0008849317805958146,0.005721044566427891
0.0008938254928488935,0.005784598090112922
0.0009028085883961136,0.005848294170051012
0.0009118819655545162,0.005912134355148647
0.0009210465316693785,0.005976120197199293
0.000930303203204949,0.006040253250911175
0.0009396529058360961,0.006104535073934984
0.0009490965745408727,0.00616896722689146
0.0009586351536940199,0.006233551273398924
0.0009682695971614026,0.006298288780100671
0.0009780008683953946,0.006363181316692263
0.0009878299405312295,0.006428230455948781
0.000997757796484312,0.006493437773751895
0.0010077854290485105,0.006558804849116887
0.0010179138409954387,0.00662433326421953
0.0010281440451747298,0.0066900246044229025
0.0010384770646153282,0.006755880458304036
0.0010489139326277893,0.006821902417680477
0.0010594556929076101,0.006888092077636765
0.0010701033996396044,0.00695445103655073
0.0010808581176033184,0.007020980896119715
0.0010917209222795108,0.007087683261386664
0.0011026928999577018,0.007154559740766099
0.0011137751478448032,0.007221611946069953
0.0011249687741748374,0.007288841492533257
0.0011362748983197658,0.007356249998839753
0.0011476946509014264,0.007423839087147297
0.0011592291739045914,0.007491610383113215
0.0011708796207911744,0.00755956551591943
0.0011826471566155727,0.00762770611829752
0.0011945329581411752,0.007696033826553573
0.0012065382139580404,0.007764550280592943
0.0012186641246017523,0.007833257123944826
0.001230911902673481,0.007902156003786687
0.0012432827729612415,0.007971248570968542
0.0012557779725623694,0.008040536480037063
0.0012683987510072388,0.008110021389259559
0.0012811463703842113,0.008179704960647748
0.001294022105465848,0.008249588859981383
0.0013070272438363876,0.00831967475683169
0.0013201630860205026,0.008389964324584661
0.0013334309456133593,0.008460459240464143
0.0013468321494119746,0.00853116118555477
0.0013603680375478939,0.008602071844824675
0.0013740399636212118,0.008673192907148058
0.001387849294835929,0.008744526065327511
0.0014017974121366744,0.008816073016116198
0.0014158857103468022,0.008887835460239803
