r,V(r)
0.00033546262790251185,-0.610040637255556
0.0003388340833634261,-0.6100406372498312
0.0003422394225150394,-0.6100406372439905
0.00034567898589410494,-0.6100406372380318
0.0003491531174598264,-0.6100406372319529
0.00035266216462825575,-0.6100406372257511
0.00035620647830703403,-0.610040637219424
0.00035978641293048306,-0.6100406372129692
0.0003634023264950478,-0.6100406372063839
0.0003670545805950984,-0.6100406371996656
0.0003707435404590882,-0.6100406371928115
0.00037446957498607833,-0.6100406371858191
0.00037823305678262576,-0.6100406371786853
0.0003820343622000467,-0.6100406371714076
0.00038587387137205064,-0.6100406371639827
0.0003897519682527548,-0.6100406371564078
0.0003936690406550783,-0.6100406371486798
0.00039762548028952584,-0.6100406371407959
0.0004016216828033581,-0.6100406371327526
0.00040565804782015684,-0.6100406371245468
0.0004097349789797868,-0.6100406371161753
0.00041385288397876164,-0.6100406371076347
0.0004180121746110129,-0.6100406370989215
0.00042221326680907034,-0.6100406370900324
0.00042645658068565383,-0.6100406370809636
0.00043074254057568753,-0.6100406370717116
0.0004350715750787321,-0.6100406370622727
0.00043944411710184546,-0.6100406370526432
0.000443860603902874,-0.6100406370428192
0.00044832147713417755,-0.6100406370327967
0.00045282718288679695,-0.6100406370225716
0.0004573781717350623,-0.6100406370121401
0.0004619748987816513,-0.6100406370014977
0.0004666178237030984,-0.6100406369906405
0.00047130741079576537,-0.6100406369795639
0.00047604412902226933,-0.6100406369682635
0.00048082845205838073,-0.6100406369567348
0.0004856608583403892,-0.6100406369449733
0.0004905418311129505,-0.6100406369329742
0.0004954718584774093,-0.6100406369207326
0.0005004514334406108,-0.6100406369082437
0.0005054810539642003,-0.6100406368955026
0.0005105612230144218,-0.6100406368825041
0.0005156924486124138,-0.610040636869243
0.0005208752438850126,-0.6100406368557141
0.0005261101271160638,-0.6100406368419117
0.0005313976217982529,-0.6100406368278306
0.0005367382566854548,-0.610040636813465
0.000542132565845609,-0.6100406367988092
0.0005475810887141261,-0.6100406367838573
0.0005530843701478336,-0.6100406367686034
0.0005586429604794611,-0.6100406367530413
0.0005642574155726738,-0.6100406367371649
0.0005699282968776604,-0.6100406367209678
0.0005756561714872761,-0.6100406367044434
0.0005814416121937556,-0.6100406366875852
0.0005872851975459913,-0.6100406366703864
0.000593187511907387,-0.6100406366528403
0.0005991491455142981,-0.6100406366349397
0.0006051706945350532,-0.6100406366166774
0.0006112527611295723,-0.6100406365980463
0.000617395953509584,-0.6100406365790387
0.0006236008859994445,-0.6100406365596472
0.000629868179097574,-0.6100406365398641
0.0006361984595385052,-0.6100406365196811
0.0006425923603555579,-0.6100406364990905
0.0006490505209441411,-0.6100406364780839
0.0006555735871256958,-0.610040636456653
0.0006621622112122764,-0.610040636434789
0.0006688170520717824,-0.6100406364124835
0.0006755387751938444,-0.6100406363897274
0.0006823280527563766,-0.6100406363665115
0.0006891855636927931,-0.6100406363428267
0.0006961119937599026,-0.6100406363186633
0.0007031080356064829,-0.6100406362940118
0.000710174388842549,-0.6100406362688624
0.0007173117601093135,-0.6100406362432049
0.0007245208631498506,-0.6100406362170292
0.0007318024188804728,-0.6100406361903246
0.0007391571554628196,-0.6100406361630806
0.0007465858083766792,-0.610040636135286
0.0007540891204935341,-0.6100406361069302
0.0007616678421508473,-0.6100406360780014
0.0007693227312271008,-0.6100406360484882
0.0007770545532175816,-0.6100406360183789
0.0007848640813109316,-0.6100406359876613
0.0007927520964664691,-0.6100406359563231
0.0008007193874922814,-0.610040635924352
0.0008087667511241114,-0.610040635891735
0.0008168949921050283,-0.6100406358584589
0.0008251049232659046,-0.6100406358245107
0.0008333973656066964,-0.6100406357898767
0.000841773148378549,-0.610040635754543
0.0008502331091667194,-0.6100406357184955
0.0008587780939743372,-0.6100406356817201
0.0008674089573070025,-0.6100406356442014
0.0008761265622582417,-0.610040635605925
0.0008849317805958146,-0.6100406355668752
0.0008938254928488935,-0.6100406355270367
0.0009028085883961136,-0.6100406354863932
0.0009118819655545162,-0.6100406354449289
0.0009210465316693785,-0.6100406354026269
0.000930303203204949,-0.6100406353594702
0.0009396529058360961,-0.6100406353154417
0.0009490965745408727,-0.6100406352705239
0.0009586351536940199,-0.6100406352246986
0.0009682695971614026,-0.6100406351779476
0.0009780008683953946,-0.6100406351302523
0.0009878299405312295,-0.6100406350815932
0.000997757796484312,-0.6100406350319514
0.0010077854290485105,-0.6100406349813066
0.0010179138409954387,-0.6100406349296388
0.0010281440451747298,-0.6100406348769272
0.0010384770646153282,-0.6100406348231507
0.0010489139326277893,-0.610040634768288
0.0010594556929076101,-0.6100406347123167
0.0010701033996396044,-0.610040634655215
0.0010808581176033184,-0.6100406345969596
0.0010917209222795108,-0.6100406345375274
0.0011026928999577018,-0.6100406344768947
0.0011137751478448032,-0.610040634415037
0.0011249687741748374,-0.6100406343519297
0.0011362748983197658,-0.6100406342875477
0.0011476946509014264,-0.6100406342218649
0.0011592291739045914,-0.6100406341548553
0.0011708796207911744,-0.6100406340864921
0.0011826471566155727,-0.6100406340167478
0.0011945329581411752,-0.6100406339455946
0.0012065382139580404,-0.610040633873004
0.0012186641246017523,-0.6100406337989469
0.001230911902673481,-0.6100406337233939
0.0012432827729612415,-0.6100406336463146
0.0012557779725623694,-0.610040633567678
0.0012683987510072388,-0.6100406334874529
0.0012811463703842113,-0.6100406334056072
0.001294022105465848,-0.6100406333221081
0.0013070272438363876,-0.6100406332369223
0.0013201630860205026,-0.6100406331500156
0.0013334309456133593,-0.6100406330613531
0.0013468321494119746,-0.6100406329708996
0.0013603680375478939,-0.610040632878619
