r,V(r)
0.00033546262790251185,-10176.213211841274
0.0003388340833634261,-10074.94413166292
0.0003422394225150394,-9974.682695716074
0.00034567898589410494,-9875.418877773582
0.0003491531174598264,-9777.142751370942
0.00035266216462825575,-9679.844488813615
0.00035620647830703403,-9583.514360194258
0.00035978641293048306,-9488.142732419727
0.0003634023264950478,-9393.720068247781
0.0003670545805950984,-9300.236925333315
0.0003707435404590882,-9207.68395528413
0.00037446957498607833,-9116.051902726085
0.00037823305678262576,-9025.331604377581
0.0003820343622000467,-8935.513988133172
0.00038587387137205064,-8846.590072156392
0.0003897519682527548,-8758.550963981523
0.0003936690406550783,-8671.387859624401
0.00039762548028952584,-8585.092042701948
0.0004016216828033581,-8499.654883560555
0.00040565804782015684,-8415.067838413102
0.0004097349789797868,-8331.322448484603
0.00041385288397876164,-8248.410339166267
0.0004180121746110129,-8166.323219178067
0.00042221326680907034,-8085.052879739593
0.00042645658068565383,-8004.591193749187
0.00043074254057568753,-7924.9301149711955
0.0004350715750787321,-7846.0616772313515
0.00043944411710184546,-7767.977993620159
0.000443860603902874,-7690.671255704179
0.00044832147713417755,-7614.133732745211
0.00045282718288679695,-7538.357770927172
0.0004573781717350623,-7463.33579259073
0.0004619748987816513,-7389.060295475529
0.0004666178237030984,-7315.523851969971
0.00047130741079576537,-7242.719108368419
0.00047604412902226933,-7170.6387841358455
0.00048082845205838073,-7099.275671179748
0.0004856608583403892,-7028.6226331293765
0.0004905418311129505,-6958.672604622041
0.0004954718584774093,-6889.418590596599
0.0005004514334406108,-6820.853665593929
0.0005054810539642003,-6752.9709730644045
0.0005105612230144218,-6685.763724682198
0.0005156924486124138,-6619.225199666464
0.0005208752438850126,-6553.3487441092475
0.0005261101271160638,-6488.127770310104
0.0005313976217982529,-6423.555756117299
0.0005367382566854548,-6359.6262442756
0.000542132565845609,-6296.332841780546
0.0005475810887141261,-6233.669219239149
0.0005530843701478336,-6171.629110236931
0.0005586429604794611,-6110.206310711292
0.0005642574155726738,-6049.394678331093
0.0005699282968776604,-5989.188131882412
0.0005756561714872761,-5929.580650660444
0.0005814416121937556,-5870.566273867387
0.0005872851975459913,-5812.139100016377
0.000593187511907387,-5754.293286341348
0.0005991491455142981,-5697.0230482127245
0.0006051706945350532,-5640.322658558967
0.0006112527611295723,-5584.18644729386
0.000617395953509584,-5528.608800749488
0.0006236008859994445,-5473.5841611148935
0.000629868179097574,-5419.107025880254
0.0006361984595385052,-5365.171947286646
0.0006425923603555579,-5311.773531781259
0.0006490505209441411,-5258.906439478054
0.0006555735871256958,-5206.565383623738
0.0006621622112122764,-5154.745130069108
0.0006688170520717824,-5103.440496745619
0.0006755387751938444,-5052.6463531471945
0.0006823280527563766,-5002.3576198171395
0.0006891855636927931,-4952.569267840213
0.0006961119937599026,-4903.276318339722
0.0007031080356064829,-4854.473841979647
0.000710174388842549,-4806.156958471678
0.0007173117601093135,-4758.3208360871995
0.0007245208631498506,-4710.960691174109
0.0007318024188804728,-4664.071787678444
0.0007391571554628196,-4617.649436670786
0.0007465858083766792,-4571.688995877345
0.0007540891204935341,-4526.185869215737
0.0007616678421508473,-4481.135506335383
0.0007693227312271008,-4436.533402162449
0.0007770545532175816,-4392.375096449347
0.0007848640813109316,-4348.656173328708
0.0007927520964664691,-4305.37226087178
0.0008007193874922814,-4262.519030651257
0.0008087667511241114,-4220.092197308399
0.0008168949921050283,-4178.087518124515
0.0008251049232659046,-4136.500792596678
0.0008333973656066964,-4095.327862017687
0.000841773148378549,-4054.5646090601686
0.0008502331091667194,-4014.2069573648555
0.0008587780939743372,-3974.250871132943
0.0008674089573070025,-3934.692354722516
