n,phase shift
1,-123.60544748362138
2,-62.634269613389606
3,-36.81169531952324
4,-26.812076977173415
5,-21.134452385643772
6,-17.452329782716784
7,-14.857790724945076
8,-12.962148076672014
9,-11.471473590150534
10,-10.289263778236208
