n,phase shift
1,-83.19970305168248
2,-61.31255817790754
3,-40.56202989040079
4,-27.228679452311468
5,-21.259101753812118
6,-17.49871055183751
7,-14.876687199167195
8,-12.969682403036872
9,-11.473843038606699
10,-10.289263778240995
