n,phase shift
1,-100.41712492531623
2,-50.225312425641576
3,-33.48726573292868
4,-25.11684625419576
5,-20.09410554711774
6,-16.746950747780275
7,-14.343563422406838
8,-12.572402783635795
9,-11.171451511929128
10,-10.048880328231872
