n,phase shift
1,-82.66546438412155
2,-61.12244902722667
3,-40.63374327124201
4,-27.247912441668298
5,-21.26435018358709
6,-17.500565764783158
7,-14.877421776360174
8,-12.969970285253135
9,-11.473932558386046
10,-10.289263778236192
