n,phase shift
1,-153.44151825588702
2,-57.40275700094273
3,-36.437089942312944
4,-26.724105857295516
5,-21.10532992819704
6,-17.441011100936745
7,-14.853072016900741
8,-12.960240909487988
9,-11.470868537593665
10,-10.289263778236212
