n,phase shift
1,-67.04469822040369
2,-53.935272777403796
3,-40.895865670964525
4,-29.087958632858513
5,-21.53730085185604
6,-17.58854829392491
7,-14.910974697779611
8,-12.982872191197211
9,-11.477900376570505
10,-10.289263778189026
