n,phase shift
1,-160.92665775839737
2,-60.79412406031544
3,-37.67958412091501
4,-27.37991986568449
5,-21.511015362089186
6,-17.71655842349194
7,-15.05361057039885
8,-13.111547212069992
9,-11.587250632871143
10,-10.382865203526784
