n,phase shift
1,-66.59356919583956
2,-53.69080362685991
3,-40.84535857969607
4,-29.153933221862502
5,-21.554175117888793
6,-17.59331363078477
7,-14.9126908589683
8,-12.983513125298535
9,-11.47809413847518
10,-10.289263778236215
