n,phase shift
1,-154.01844985194487
2,-57.392833856980836
3,-36.43547036450948
4,-26.72366794761623
5,-21.105176960585517
6,-17.440950054643483
7,-14.853046180613049
8,-12.960230369369004
9,-11.470865172668914
10,-10.289263778210985
