n,E
1,-0.439207210543182
2,-0.285499061946325
3,-0.16523053268592117
4,-0.08417811302101677
5,-0.04601167297858035
6,-0.030652699397658852
7,-0.022045628104481133
8,-0.0166567303042882
9,-0.013041340398975722
10,-0.01049277445815837
