n,E
1,-0.4451780649682508
2,-0.28810489415852275
3,-0.16563941504414417
4,-0.08379755836098562
5,-0.04593965888229951
6,-0.030636086210107997
7,-0.022040576404915108
8,-0.016655092405160825
9,-0.013040893084224169
10,-0.010492773980593634
