n,E
1,-1.5263199028966283
2,-0.3857944289326189
3,-0.13416111775322415
4,-0.07119076333687545
5,-0.04423546260241461
6,-0.030162538470245474
7,-0.021884137728109765
8,-0.01660211064925621
9,-0.013026043052284355
10,-0.01049275784460257
