n,E
1,-1.5131434396266943
2,-0.3885338948535982
3,-0.13420741596344135
4,-0.07119767167212883
5,-0.04423717722775712
6,-0.030163076021823297
7,-0.021884325169673622
8,-0.016602176013271335
9,-0.013026061700276583
10,-0.010492757865186081
