n,E
1,-0.6767886961749895
2,-0.37000395893992166
3,-0.16352288532324374
4,-0.07353114803573901
5,-0.044782627147946896
6,-0.030330156358150822
7,-0.021941932419012575
8,-0.01662213883514087
9,-0.013031735136518193
10,-0.010492764089825407
