n,E
1,-2.3317965261482643
2,-0.32634005332850746
3,-0.1314898549039654
4,-0.0707312353002222
5,-0.04411534878405465
6,-0.030123936324587087
7,-0.021870489865410906
8,-0.016597310697129924
9,-0.013024665933123418
10,-0.010492756323299372
