n,E
1,-2.349364342333197
2,-0.32622723507388884
3,-0.1314781660826091
4,-0.07072891727022665
5,-0.0441147093158646
6,-0.030123725295892124
7,-0.02187041412664617
8,-0.016597283809596693
9,-0.013024658170966869
10,-0.010492756314817178
