n,E
1,-1.9495230341102325
2,-0.3266143602023361
3,-0.13144864588439356
4,-0.07072047948673692
5,-0.04411210521281707
6,-0.030122820388738654
7,-0.021870079970708098
8,-0.01659716308889029
9,-0.013024622914466032
10,-0.010492756275407314
