n,E
1,-0.685564671365981
2,-0.37230918494194737
3,-0.16294620053505182
4,-0.07342738047614611
5,-0.044760523814321294
6,-0.030323721821708643
7,-0.021939775364910326
8,-0.016621403931268312
9,-0.013031528566533947
10,-0.010492763864983165
